case,id,act,requiredLevel,title,truth,decision,difficulty,investigationBudget,atomicStatements,evidence,interactive,documentScan,thermalScan,shadowTimeCheck,sealMatch,surfaceReveal,newAssetFiles
1,case-001,1,1,"Телевизор, переживший потоп",fraud,reject,easy,2,3,2,1,0,1,0,0,0,2
2,case-009,1,1,"Пожар без виновного",valid,approve,easy,3,3,3,0,0,0,0,0,0,0
3,case-013,1,2,"Телефон со дна озера",fraud,reject,medium,3,3,3,1,1,0,0,0,0,2
4,case-003,1,2,"Часы в желудке",fraud,reject,medium,3,3,4,0,0,0,0,0,0,0
5,case-018,1,3,"Кольцо на высоте",valid,approve,medium,3,3,4,0,0,0,0,0,0,0
6,case-020,1,3,"Сорок пропавших пицц",fraud,reject,medium,3,3,4,1,0,0,0,1,0,2
7,case-004,1,4,"Корова над помидорами",valid,approve,medium,3,3,4,1,0,0,1,0,0,2
8,case-019,1,4,"Ночной водитель",valid,approve,medium,3,3,4,0,0,0,0,0,0,0
9,case-021,1,5,"Прорыв под «Маяком»",fraud,reject,hard,3,3,4,1,0,0,0,0,1,2
10,case-005,1,5,"Полтергейст вышел в эфир",fraud,reject,hard,4,3,6,1,1,0,0,0,0,2
11,case-006,2,6,"Погреб, который не нагрелся",fraud,reject,medium,3,3,4,0,0,0,0,0,0,0
12,case-008,2,6,"Три месяца в постели",fraud,reject,medium,3,3,4,1,1,0,0,0,0,2
13,case-010,2,7,"Двадцать две секунды на красном",valid,approve,easy,3,3,4,0,0,0,0,0,0,0
14,case-011,2,7,"Дом без взломщика",fraud,reject,medium,3,3,4,0,0,0,0,0,0,0
15,case-012,2,8,"Право на время",valid,approve,medium,3,3,4,0,0,0,0,0,0,0
16,case-014,2,8,"Белая полоса над полем",valid,approve,medium,3,3,4,1,0,0,1,0,0,2
17,case-015,2,9,"Не та яхта",fraud,reject,hard,3,3,4,1,0,0,0,1,0,3
18,case-016,2,9,"Четыре дня без магазина",valid,approve,medium,3,3,4,1,0,0,0,0,1,2
19,case-017,2,10,"Ботинок на 800 ватт",valid,approve,medium,3,3,4,1,0,1,0,0,0,2
20,case-022,2,10,"Погром в «Компасе»",valid,approve,hard,3,3,4,1,1,0,0,0,0,2
21,case-023,3,11,"Карта, оставшаяся дома",fraud,reject,medium,3,3,4,0,0,0,0,0,0,0
22,case-024,3,11,"Звонок в 17:41",valid,approve,easy,3,3,4,0,0,0,0,0,0,0
23,case-025,3,12,"Последний кофе перед пожаром",valid,approve,medium,4,3,5,1,0,0,0,0,1,2
24,case-026,3,12,"Часы после кражи",fraud,reject,hard,4,3,5,1,1,0,0,0,0,2
25,case-027,3,13,"Семена после ливня",valid,approve,medium,4,3,5,1,0,0,1,0,0,2
26,case-028,3,13,"Склад без товара",fraud,reject,hard,4,3,5,1,0,0,0,1,0,2
27,case-029,3,14,"Разряд через весь дом",valid,approve,hard,4,3,6,1,0,1,0,0,0,2
28,case-030,3,14,"Столкновение ради пломбы",fraud,reject,hard,4,3,6,1,0,0,0,1,0,3
29,case-031,3,15,"Двадцать минут льда",valid,approve,medium,4,3,6,0,0,0,0,0,0,0
30,case-032,3,15,"Внедорожник за воротами",fraud,reject,hard,4,3,6,1,1,0,0,0,0,2
31,case-033,4,16,"Рука в прессе",valid,approve,hard,4,3,6,1,0,0,0,1,0,3
32,case-034,4,16,"Серийные номера в пепле",fraud,reject,hard,4,3,6,1,0,0,0,0,1,2
33,case-035,4,17,"Следы шин в «Янтаре»",fraud,reject,medium,4,3,6,0,0,0,0,0,0,0
34,case-036,4,17,"Невозможная скорость",valid,approve,hard,4,3,6,1,0,1,0,0,0,2
35,case-037,4,18,"Три силуэта в контейнере",fraud,reject,hard,4,3,6,1,0,0,1,0,0,2
36,case-038,4,18,"Лаборатория №394",valid,approve,hard,4,3,6,1,1,0,0,0,0,2
37,case-039,4,19,"Робот, разобравший солнце",fraud,reject,medium,4,3,6,0,0,0,0,0,0,0
38,case-040,4,19,"Пожар на «Лунном склоне»",valid,approve,hard,4,3,6,1,0,0,0,1,0,2
39,case-041,4,20,"Перехватчик в ледяном каньоне",fraud,reject,hard,4,3,6,1,1,0,0,0,0,2
40,case-042,4,20,"Клинок, проданный до кражи",fraud,reject,medium,4,3,6,1,0,0,0,1,0,2
41,case-043,5,21,"Стажёр, который ушёл сам",fraud,reject,hard,4,3,6,1,1,0,0,0,0,2
42,case-044,5,22,"Слишком удобная серая лента",fraud,reject,hard,4,3,6,1,0,1,0,0,0,2
43,case-045,5,23,"Кубок через верхний люк",valid,approve,medium,4,3,6,0,0,0,0,0,0,0
44,case-046,5,24,"Падение, которого не было",fraud,reject,hard,4,3,6,1,0,0,0,1,0,3
45,case-047,5,25,"Ночной свет в общежитии",valid,approve,hard,4,3,6,0,0,0,0,0,0,0
46,case-048,5,26,"Разгром после закрытия",fraud,reject,medium,4,3,6,1,1,0,0,0,0,2
47,case-049,5,27,"Контейнер M-7",fraud,reject,hard,4,3,6,1,0,0,0,0,1,3
48,case-050,5,28,"Огонь в «Компасе»",valid,approve,hard,4,3,6,1,0,0,0,1,0,2
49,case-051,5,29,"Последний фургон",fraud,reject,hard,4,3,7,1,0,0,1,0,0,2
50,case-417,5,30,"Последний чемодан",fraud,reject,hard,5,3,7,2,1,0,0,1,0,4
